,cinema_id,name,city,location
0,1,amc,Al Khobar,AMC Ajdan Walk 9
1,2,amc,Riyadh,AMC Riyadh Gallery 9
2,3,amc,Riyadh,AMC Al Khair 9
3,4,amc,Riyadh,AMC Panorama Mall 10
4,5,amc,Riyadh,AMC Azizia Plaza 3
5,6,amc,Jeddah,AMC Stars Avenue 9
6,7,muvi,Dammam,Nakheel Mall
7,8,muvi,Dhahran,Mall of Dhahran
8,9,muvi,Hofuf,Al Ahsa Mall
9,10,muvi,Jeddah,Mall of Arabia
10,11,muvi,Jeddah,Aziz Mall
11,12,muvi,Jeddah,Atelier La Vie
12,13,muvi,Jeddah,Haifa Mall
13,14,muvi,Jeddah,Al-Yasmin Mall
14,15,muvi,Jubail,Jubail Mall
15,16,muvi,Khamis M,Mujan Park  - Khamis
16,17,muvi,Qassim,The Boulevard Unaizah
17,18,muvi,Qassim,Nakheel Plaza Buraydah
18,19,muvi,Riyadh,Boulevard Riyadh City
19,20,muvi,Riyadh,The View
20,21,muvi,Riyadh,Salaam Mall
21,22,muvi,Riyadh,muvi Boutique - Tala Mall
22,23,muvi,Riyadh,Al Hamra Mall
23,24,muvi,Riyadh,Nakheel Mall
24,25,muvi,Riyadh,U Walk
25,26,muvi,Riyadh,Diriyah Biennale
26,27,vox,riyadh,al-qasr-mall
27,28,vox,riyadh,atyaf-mall
28,29,vox,hail,hail-square
29,30,vox,jubail,jubail-galleria-mall
30,31,vox,riyadh,kingdom-centre
31,32,vox,jeddah,red-sea-mall
32,33,vox,riyadh,riyadh-front
33,34,vox,riyadh,riyadh-park
34,35,vox,riyadh,sahara-mall
35,36,vox,tabuk,tabuk-park
36,37,vox,riyadh,the-esplanade
37,38,vox,riyadh,the-roof
38,39,vox,riyadh,"the-spot,-sheikh-jaber"
39,40,vox,jeddah,town-square
40,41,vox,dammam,west-avenue-mall
41,42,amc,Riyadh,AMC King Abdullah Financial District 1
42,43,amc,AlMajmaah,AMC Karam 5
43,44,amc,AlDawadmi,AMC Dawadmi 3
44,45,amc,Hafr AlBatin,AMC Hafr Al Batin 8
45,46,muvi,Riyadh,Drive-In
